A,Z,,,,
16,5,16B,14938.429,88.149,5.509
16,6,16C,14914.532,110.753,6.922
16,7,16N,14906.011,117.981,7.374
16,8,16O,14895.079,127.619,7.976
16,9,16F,14909.985,111.42,6.964
16,10,16Ne,14922.79,97.322,6.083
17,5,17B,15876.613,89.531,5.267
17,6,17C,15853.371,111.479,6.558
17,7,17N,15839.692,123.865,7.286
17,8,17O,15830.501,131.763,7.751
17,9,17F,15832.751,128.22,7.542
17,10,17Ne,15846.749,112.928,6.643
18,6,18C,16788.756,115.66,6.426
18,7,18N,16776.429,126.693,7.039
18,8,18O,16762.023,139.807,7.767
18,9,18F,16763.167,137.369,7.632
18,10,18Ne,16767.099,132.143,7.341
18,11,18Na,16785.461,112.488,6.249
19,6,19C,17727.74,116.241,6.118
19,7,19N,17710.671,132.017,6.948
19,8,19O,17697.633,143.761,7.566
19,9,19F,17692.3,147.801,7.779
19,10,19Ne,17695.028,143.78,7.567
19,11,19Na,17705.692,131.822,6.938
19,12,19Mg,17725.294,110.927,5.838
20,6,20C,18664.374,119.172,5.959
20,7,20N,18648.073,134.18,6.709
20,8,20O,18629.59,151.37,7.569
20,9,20F,18625.264,154.403,7.72
20,10,20Ne,18617.728,160.645,8.032
20,11,20Na,18631.107,145.973,7.299
20,12,20Mg,18641.318,134.468,6.723
21,7,21N,19583.047,138.771,6.608
21,8,21O,19565.349,155.176,7.389
21,9,21F,19556.728,162.504,7.738
21,10,21Ne,19550.533,167.406,7.972
21,11,21Na,19553.569,163.076,7.766
21,12,21Mg,19566.153,149.199,7.105
22,7,22N,20521.331,140.053,6.366
22,8,22O,20498.06,162.03,7.365
22,9,22F,20491.062,167.735,7.624
22,10,22Ne,20479.734,177.77,8.08
22,11,22Na,20482.065,174.146,7.916
22,12,22Mg,20486.339,168.578,7.663
23,8,23O,21434.884,164.772,7.164
23,9,23F,21423.093,175.269,7.62
23,10,23Ne,21414.098,182.971,7.955
23,11,23Na,21409.211,186.564,8.111
23,12,23Mg,21412.757,181.726,7.901
23,13,23Al,21424.489,168.7,7.335
24,8,24O,22370.838,168.383,7.016
24,9,24F,22358.817,179.111,7.463
24,10,24Ne,22344.795,191.84,7.993
24,11,24Na,22341.817,193.524,8.064
24,12,24Mg,22335.791,198.257,8.261
24,13,24Al,22349.156,183.598,7.65
24,14,24Si,22359.457,172.004,7.167
25,9,25F,23294.021,183.472,7.339
25,10,25Ne,23280.132,196.068,7.843
25,11,25Na,23272.372,202.535,8.101
25,12,25Mg,23268.026,205.588,8.224
25,13,25Al,23271.791,200.529,8.021
25,14,25Si,23284.02,187.006,7.48
26,9,26F,24232.515,184.543,7.098
26,10,26Ne,24214.164,201.601,7.754
26,11,26Na,24206.361,208.111,8.004
26,12,26Mg,24196.498,216.681,8.334
26,13,26Al,24199.991,211.894,8.15
26,14,26Si,24204.545,206.047,7.925
27,9,27F,25170.669,185.955,6.887
27,10,27Ne,25152.298,203.032,7.52
27,11,27Na,25139.2,214.837,7.957
27,12,27Mg,25129.62,223.124,8.264
27,13,27Al,25126.499,224.952,8.332
27,14,27Si,25130.8,219.357,8.124
27,15,27P,25141.956,206.908,7.663
28,10,28Ne,26087.962,206.934,7.39
28,11,28Na,26075.222,218.38,7.799
28,12,28Mg,26060.682,231.627,8.272
28,13,28Al,26058.339,232.677,8.31
28,14,28Si,26053.186,236.537,8.448
28,15,28P,26067.008,221.421,7.908
28,16,28S,26077.726,209.41,7.479
29,10,29Ne,27026.276,208.185,7.179
29,11,29Na,27010.37,222.798,7.683
29,12,29Mg,26996.575,235.299,8.114
29,13,29Al,26988.468,242.113,8.349
29,14,29Si,26984.277,245.011,8.449
29,15,29P,26988.709,239.286,8.251
29,16,29S,27001.99,224.711,7.749
30,10,30Ne,27962.81,211.216,7.041
30,11,30Na,27947.56,225.173,7.506
30,12,30Mg,27929.777,241.663,8.055
30,13,30Al,27922.305,247.841,8.261
30,14,30Si,27913.233,255.62,8.521
30,15,30P,27916.955,250.605,8.354
30,16,30S,27922.581,243.685,8.123
31,11,31Na,28883.343,228.955,7.386
31,12,31Mg,28866.965,244.04,7.872
31,13,31Al,28854.717,254.994,8.226
31,14,31Si,28846.211,262.207,8.458
31,15,31P,28844.209,262.917,8.481
31,16,31S,28849.094,256.738,8.282
31,17,31Cl,28860.557,243.981,7.87
32,11,32Na,29821.247,230.616,7.207
32,12,32Mg,29800.721,249.849,7.808
32,13,32Al,29790.105,259.172,8.099
32,14,32Si,29776.574,271.41,8.482
32,15,32P,29775.838,270.852,8.464
32,16,32S,29773.617,271.781,8.493
32,17,32Cl,29785.791,258.312,8.072
32,18,32Ar,29796.41,246.4,7.7
33,11,33Na,30758.571,232.858,7.056
33,12,33Mg,30738.064,252.071,7.639
33,13,33Al,30724.129,264.713,8.022
33,14,33Si,30711.655,275.894,8.36
33,15,33P,30705.3,280.956,8.514
33,16,33S,30704.54,280.422,8.498
33,17,33Cl,30709.612,274.057,8.305
33,18,33Ar,30720.72,261.656,7.929
34,12,34Mg,31673.474,256.227,7.536
34,13,34Al,31661.223,267.184,7.858
34,14,34Si,31643.685,283.429,8.336
34,15,34P,31638.573,287.248,8.448
34,16,34S,31632.689,291.839,8.584
34,17,34Cl,31637.67,285.565,8.399
34,18,34Ar,31643.221,278.72,8.198
35,13,35Al,32595.517,272.456,7.784
35,14,35Si,32580.776,285.903,8.169
35,15,35P,32569.768,295.619,8.446
35,16,35S,32565.268,298.825,8.538
35,17,35Cl,32564.59,298.21,8.52
35,18,35Ar,32570.045,291.461,8.327
35,19,35K,32581.412,278.801,7.966
36,13,36Al,33532.921,274.617,7.628
36,14,36Si,33514.15,292.095,8.114
36,15,36P,33505.868,299.083,8.308
36,16,36S,33494.944,308.714,8.575
36,17,36Cl,33495.576,306.79,8.522
36,18,36Ar,33494.355,306.717,8.52
36,19,36K,33506.649,293.129,8.142
36,20,36Ca,33517.124,281.361,7.816
37,13,37Al,34468.585,278.518,7.528
37,14,37Si,34451.544,294.266,7.953
37,15,37P,34438.623,305.894,8.267
37,16,37S,34430.206,313.018,8.46
37,17,37Cl,34424.83,317.101,8.57
37,18,37Ar,34425.133,315.504,8.527
37,19,37K,34430.769,308.575,8.34
37,20,37Ca,34441.897,296.154,8.004
38,13,38Al,35406.18,280.49,7.381
38,14,38Si,35385.549,299.827,7.89
38,15,38P,35374.348,309.735,8.151
38,16,38S,35361.736,321.054,8.449
38,17,38Cl,35358.287,323.208,8.505
38,18,38Ar,35352.86,327.343,8.614
38,19,38K,35358.263,320.646,8.438
38,20,38Ca,35364.494,313.122,8.24
39,13,39Al,36343.024,283.211,7.262
39,14,39Si,36323.043,301.899,7.741
39,15,39P,36307.732,315.916,8.1
39,16,39S,36296.931,325.424,8.344
39,17,39Cl,36289.779,331.282,8.494
39,18,39Ar,36285.827,333.941,8.563
39,19,39K,36284.751,333.724,8.557
39,20,39Ca,36290.772,326.409,8.369
39,21,39Sc,36303.368,312.52,8.013
40,14,40Si,37258.077,306.43,7.661
40,15,40P,37243.986,319.228,7.981
40,16,40S,37228.715,333.205,8.33
40,17,40Cl,37223.514,337.113,8.428
40,18,40Ar,37215.523,343.811,8.595
40,19,40K,37216.516,341.524,8.538
40,20,40Ca,37214.694,342.052,8.551
40,21,40Sc,37228.506,326.947,8.174
40,22,40Ti,37239.669,314.491,7.862
41,14,41Si,38197.661,306.411,7.473
41,15,41P,38178.31,324.469,7.914
41,16,41S,38164.059,337.427,8.23
41,17,41Cl,38155.258,344.934,8.413
41,18,41Ar,38148.989,349.91,8.534
41,19,41K,38145.986,351.619,8.576
41,20,41Ca,38145.897,350.415,8.547
41,21,41Sc,38151.881,343.137,8.369
42,15,42P,39116.024,326.32,7.77
42,16,42S,39096.893,344.158,8.194
42,17,42Cl,39089.152,350.606,8.348
42,18,42Ar,39079.128,359.336,8.556
42,19,42K,39078.018,359.153,8.551
42,20,42Ca,39073.981,361.896,8.617
42,21,42Sc,39079.896,354.688,8.445
42,22,42Ti,39086.385,346.906,8.26
43,15,43P,40052.348,329.562,7.664
43,16,43S,40034.097,346.519,8.059
43,17,43Cl,40021.386,357.937,8.324
43,18,43Ar,40013.035,364.995,8.488
43,19,43K,40007.941,368.795,8.577
43,20,43Ca,40005.614,369.829,8.601
43,21,43Sc,40007.324,366.826,8.531
43,22,43Ti,40013.68,359.176,8.353
44,16,44S,40968.441,351.741,7.994
44,17,44Cl,40956.82,362.068,8.229
44,18,44Ar,40943.865,373.729,8.494
44,19,44K,40940.218,376.084,8.547
44,20,44Ca,40934.048,380.96,8.658
44,21,44Sc,40937.189,376.525,8.557
44,22,44Ti,40936.946,375.475,8.534
44,23,44V,40949.864,361.264,8.211
45,16,45S,41905.805,353.942,7.865
45,17,45Cl,41890.184,368.27,8.184
45,18,45Ar,41878.262,378.898,8.42
45,19,45K,41870.914,384.953,8.555
45,20,45Ca,41866.199,388.375,8.631
45,21,45Sc,41865.432,387.848,8.619
45,22,45Ti,41866.983,385.004,8.556
45,23,45V,41873.598,377.096,8.38
45,24,45Cr,41885.997,363.403,8.076
46,17,46Cl,42825.328,372.691,8.102
46,18,46Ar,42809.807,386.919,8.411
46,19,46K,42803.598,391.834,8.518
46,20,46Ca,42795.37,398.769,8.669
46,21,46Sc,42796.237,396.609,8.622
46,22,46Ti,42793.359,398.193,8.656
46,23,46V,42799.899,390.36,8.486
46,24,46Cr,42806.987,381.979,8.304
47,18,47Ar,43745.111,391.18,8.323
47,19,47K,43734.814,400.184,8.515
47,20,47Ca,43727.659,406.045,8.639
47,21,47Sc,43725.156,407.255,8.665
47,22,47Ti,43724.044,407.073,8.661
47,23,47V,43726.464,403.36,8.582
47,24,47Cr,43733.397,395.134,8.407
48,19,48K,44669.88,404.683,8.431
48,20,48Ca,44657.279,415.991,8.666
48,21,48Sc,44656.486,415.49,8.656
48,22,48Ti,44651.983,418.7,8.723
48,23,48V,44655.484,413.905,8.623
48,24,48Cr,44656.63,411.466,8.572
48,25,48Mn,44669.618,397.185,8.275
49,19,49K,45603.178,410.95,8.387
49,20,49Ca,45591.698,421.137,8.595
49,21,49Sc,45585.924,425.618,8.686
49,22,49Ti,45583.406,426.842,8.711
49,23,49V,45583.497,425.458,8.683
49,24,49Cr,45585.612,422.049,8.613
49,25,49Mn,45592.816,413.552,8.44
50,19,50K,46539.642,414.052,8.281
50,20,50Ca,46524.91,427.49,8.55
50,21,50Sc,46519.433,431.674,8.633
50,22,50Ti,46512.032,437.781,8.756
50,23,50V,46513.726,434.794,8.696
50,24,50Cr,46512.177,435.049,8.701
50,25,50Mn,46519.299,426.634,8.533
50,26,50Fe,46526.935,417.705,8.354
51,20,51Ca,47460.115,431.851,8.468
51,21,51Sc,47452.246,438.426,8.597
51,22,51Ti,47445.225,444.154,8.709
51,23,51V,47442.24,445.845,8.742
51,24,51Cr,47442.482,444.31,8.712
51,25,51Mn,47445.178,440.32,8.634
51,26,51Fe,47452.687,431.519,8.461
52,20,52Ca,48394.959,436.572,8.396
52,21,52Sc,48386.598,443.639,8.532
52,22,52Ti,48376.982,451.962,8.692
52,23,52V,48374.494,453.156,8.715
52,24,52Cr,48370.008,456.349,8.776
52,25,52Mn,48374.208,450.856,8.67
52,26,52Fe,48376.071,447.7,8.61
53,22,53Ti,49311.111,457.398,8.63
53,23,53V,49305.581,461.635,8.71
53,24,53Cr,49301.634,464.289,8.76
53,25,53Mn,49301.72,462.909,8.734
53,26,53Fe,49304.951,458.384,8.649
53,27,53Co,49312.741,449.302,8.477
54,21,54Sc,50255.726,453.642,8.401
54,22,54Ti,50243.845,464.23,8.597
54,23,54V,50239.033,467.748,8.662
54,24,54Cr,50231.48,474.008,8.778
54,25,54Mn,50232.346,471.848,8.738
54,26,54Fe,50231.138,471.763,8.736
54,27,54Co,50238.87,462.738,8.569
54,28,54Ni,50247.159,453.156,8.392
55,21,55Sc,51191.86,457.073,8.31
55,22,55Ti,51179.259,468.381,8.516
55,23,55V,51171.268,475.079,8.638
55,24,55Cr,51164.799,480.254,8.732
55,25,55Mn,51161.685,482.075,8.765
55,26,55Fe,51161.405,481.061,8.747
55,27,55Co,51164.346,476.827,8.67
55,28,55Ni,51172.527,467.353,8.497
56,22,56Ti,52113.483,473.722,8.459
56,23,56V,52105.832,480.08,8.573
56,24,56Cr,52096.12,488.499,8.723
56,25,56Mn,52093.98,489.345,8.738
56,26,56Fe,52089.773,492.258,8.79
56,27,56Co,52093.828,486.91,8.695
56,28,56Ni,52095.453,483.992,8.643
57,22,57Ti,53050.377,476.394,8.358
57,23,57V,53039.216,486.261,8.531
57,24,57Cr,53030.371,493.813,8.663
57,25,57Mn,53024.897,497.994,8.737
57,26,57Fe,53021.693,499.905,8.77
57,27,57Co,53022.018,498.286,8.742
57,28,57Ni,53024.769,494.242,8.671
57,29,57Cu,53033.03,484.687,8.503
58,23,58V,53974.69,490.353,8.454
58,24,58Cr,53962.559,501.19,8.641
58,25,58Mn,53957.968,504.488,8.698
58,26,58Fe,53951.213,509.949,8.792
58,27,58Co,53953.01,506.859,8.739
58,28,58Ni,53952.117,506.459,8.732
58,29,58Cu,53960.172,497.111,8.571
58,30,58Zn,53969.023,486.966,8.396
59,23,59V,54909.324,495.284,8.395
59,24,59Cr,54897.993,505.322,8.565
59,25,59Mn,54889.892,512.129,8.68
59,26,59Fe,54884.198,516.53,8.755
59,27,59Co,54882.121,517.313,8.768
59,28,59Ni,54882.683,515.458,8.737
59,29,59Cu,54886.971,509.877,8.642
59,30,59Zn,54895.557,499.998,8.475
60,23,60V,55845.308,498.865,8.314
60,24,60Cr,55830.877,512.003,8.533
60,25,60Mn,55823.686,517.901,8.632
60,26,60Fe,55814.943,525.35,8.756
60,27,60Co,55814.195,524.805,8.747
60,28,60Ni,55810.861,526.846,8.781
60,29,60Cu,55816.478,519.935,8.666
60,30,60Zn,55820.123,514.997,8.583
61,24,61Cr,56766.691,515.754,8.455
61,25,61Mn,56756.8,524.352,8.596
61,26,61Fe,56748.928,530.931,8.704
61,27,61Co,56744.439,534.126,8.756
61,28,61Ni,56742.606,534.666,8.765
61,29,61Cu,56744.332,531.646,8.716
61,30,61Zn,56749.46,525.225,8.61
61,31,61Ga,56758.204,515.188,8.446
62,24,62Cr,57699.955,522.056,8.42
62,25,62Mn,57691.814,528.903,8.531
62,26,62Fe,57680.442,538.982,8.693
62,27,62Co,57677.4,540.731,8.721
62,28,62Ni,57671.575,545.262,8.795
62,29,62Cu,57675.012,540.532,8.718
62,30,62Zn,57676.128,538.123,8.679
62,31,62Ga,57684.788,528.169,8.519
63,25,63Mn,58624.998,535.285,8.497
63,26,63Fe,58615.287,543.702,8.63
63,27,63Co,58608.486,549.21,8.718
63,28,63Ni,58604.302,552.1,8.763
63,29,63Cu,58603.724,551.385,8.752
63,30,63Zn,58606.58,547.236,8.686
63,31,63Ga,58611.735,540.788,8.584
64,25,64Mn,59560.222,539.626,8.432
64,26,64Fe,59547.561,550.994,8.609
64,27,64Co,59542.027,555.234,8.676
64,28,64Ni,59534.21,561.758,8.777
64,29,64Cu,59535.374,559.301,8.739
64,30,64Zn,59534.283,559.098,8.736
64,31,64Ga,59540.942,551.146,8.612
64,32,64Ge,59544.915,545.88,8.529
65,25,65Mn,60493.666,545.747,8.396
65,26,65Fe,60482.945,555.175,8.541
65,27,65Co,60474.144,562.683,8.657
65,28,65Ni,60467.677,567.856,8.736
65,29,65Cu,60465.028,569.212,8.757
65,30,65Zn,60465.869,567.077,8.724
65,31,65Ga,60468.613,563.04,8.662
65,32,65Ge,60474.349,556.011,8.554
66,26,66Fe,61415.749,561.936,8.514
66,27,66Co,61408.698,567.694,8.601
66,28,66Ni,61398.291,576.808,8.74
66,29,66Cu,61397.528,576.278,8.731
66,30,66Zn,61394.375,578.136,8.76
66,31,66Ga,61399.04,572.179,8.669
66,32,66Ge,61400.633,569.292,8.626
66,33,66As,61410.242,558.39,8.46
67,26,67Fe,62351.123,566.128,8.45
67,27,67Co,62341.242,574.715,8.578
67,28,67Ni,62332.048,582.616,8.696
67,29,67Cu,62327.961,585.409,8.737
67,30,67Zn,62326.889,585.189,8.734
67,31,67Ga,62327.378,583.406,8.708
67,32,67Ge,62331.089,578.402,8.633
67,33,67As,62336.586,571.611,8.532
68,26,68Fe,63285.177,571.639,8.406
68,27,68Co,63276.446,579.077,8.516
68,28,68Ni,63263.821,590.408,8.682
68,29,68Cu,63261.207,591.729,8.702
68,30,68Zn,63256.256,595.387,8.756
68,31,68Ga,63258.666,591.683,8.701
68,32,68Ge,63258.261,590.795,8.688
68,33,68As,63265.83,581.933,8.558
68,34,68Se,63270.009,576.46,8.477
69,27,69Co,64209.29,585.798,8.49
69,28,69Ni,64198.8,594.995,8.623
69,29,69Cu,64192.532,599.969,8.695
69,30,69Zn,64189.339,601.869,8.723
69,31,69Ga,64187.918,601.996,8.725
69,32,69Ge,64189.634,598.987,8.681
69,33,69As,64193.134,594.194,8.612
69,34,69Se,64199.413,586.622,8.502
70,27,70Co,65145.144,589.509,8.422
70,28,70Ni,65131.123,602.237,8.603
70,29,70Cu,65126.786,605.281,8.647
70,30,70Zn,65119.686,611.087,8.73
70,31,70Ga,65119.83,609.65,8.709
70,32,70Ge,65117.666,610.521,8.722
70,33,70As,65123.378,603.515,8.622
70,34,70Se,65125.157,600.443,8.578
71,27,71Co,66078.408,595.811,8.392
71,28,71Ni,66066.567,606.358,8.54
71,29,71Cu,66058.545,613.087,8.635
71,30,71Zn,66053.418,616.921,8.689
71,31,71Ga,66050.094,618.951,8.718
71,32,71Ge,66049.815,617.937,8.703
71,33,71As,66051.318,615.141,8.664
71,34,71Se,66055.581,609.584,8.586
71,35,71Br,66061.13,602.742,8.489
71,36,71Kr,66070.759,591.82,8.335
72,28,72Ni,66999.321,613.169,8.516
72,29,72Cu,66992.967,618.23,8.587
72,30,72Zn,66984.108,625.796,8.692
72,31,72Ga,66983.139,625.472,8.687
72,32,72Ge,66978.631,628.686,8.732
72,33,72As,66982.476,623.548,8.66
72,34,72Se,66982.301,622.429,8.645
72,35,72Br,66990.664,612.773,8.511
72,36,72Kr,66995.232,606.912,8.429
73,29,73Cu,67925.257,625.505,8.569
73,30,73Zn,67918.323,631.146,8.646
73,31,73Ga,67913.523,634.653,8.694
73,32,73Ge,67911.413,635.469,8.705
73,33,73As,67911.243,634.346,8.69
73,34,73Se,67913.471,630.825,8.641
73,35,73Br,67917.548,625.454,8.568
73,36,73Kr,67924.115,617.594,8.46
74,29,74Cu,68859.732,630.596,8.522
74,30,74Zn,68849.517,639.517,8.642
74,31,74Ga,68846.666,641.075,8.663
74,32,74Ge,68840.783,645.665,8.725
74,33,74As,68842.834,642.32,8.68
74,34,74Se,68840.97,642.891,8.688
74,35,74Br,68847.366,635.202,8.584
74,36,74Kr,68849.83,631.445,8.533
74,37,74Rb,68859.733,620.248,8.382
75,29,75Cu,69793.112,636.781,8.49
75,30,75Zn,69784.251,644.349,8.591
75,31,75Ga,69777.745,649.561,8.661
75,32,75Ge,69773.843,652.171,8.696
75,33,75As,69772.156,652.564,8.701
75,34,75Se,69772.508,650.918,8.679
75,35,75Br,69775.027,647.106,8.628
75,36,75Kr,69779.331,641.509,8.553
75,37,75Rb,69785.922,633.624,8.448
75,38,75Sr,69796.013,622.24,8.297
76,29,76Cu,70727.75,641.708,8.444
76,30,76Zn,70716.075,652.09,8.58
76,31,76Ga,70711.407,655.464,8.625
76,32,76Ge,70703.98,661.598,8.705
76,33,76As,70704.393,659.893,8.683
76,34,76Se,70700.919,662.073,8.711
76,35,76Br,70705.371,656.327,8.636
76,36,76Kr,70706.135,654.27,8.609
76,37,76Rb,70714.158,644.954,8.486
76,38,76Sr,70719.887,637.931,8.394
77,30,77Zn,71650.989,656.741,8.529
77,31,77Ga,71643.206,663.231,8.613
77,32,77Ge,71637.473,667.671,8.671
77,33,77As,71634.259,669.591,8.696
77,34,77Se,71633.065,669.492,8.695
77,35,77Br,71633.919,667.345,8.667
77,36,77Kr,71636.474,663.497,8.617
77,37,77Rb,71641.307,657.37,8.537
77,38,77Sr,71647.817,649.567,8.436
78,30,78Zn,72583.863,663.433,8.506
78,31,78Ga,72576.985,669.017,8.577
78,32,78Ge,72568.319,676.39,8.672
78,33,78As,72566.853,676.563,8.674
78,34,78Se,72562.133,679.99,8.718
78,35,78Br,72565.196,675.633,8.662
78,36,78Kr,72563.957,675.578,8.661
78,37,78Rb,72570.69,667.552,8.558
78,38,78Sr,72573.941,663.008,8.5
79,31,79Ga,73509.676,675.892,8.556
79,32,79Ge,73502.185,682.089,8.634
79,33,79As,73497.527,685.454,8.677
79,34,79Se,73494.735,686.952,8.696
79,35,79Br,73494.074,686.321,8.688
79,36,79Kr,73495.188,683.913,8.657
79,37,79Rb,73498.317,679.491,8.601
79,38,79Sr,73503.132,673.382,8.524
79,39,79Y,73509.738,665.483,8.424
80,30,80Zn,74452.351,674.075,8.426
80,31,80Ga,74444.54,680.593,8.507
80,32,80Ge,74433.654,690.186,8.627
80,33,80As,74430.499,692.047,8.651
80,34,80Se,74424.387,696.866,8.711
80,35,80Br,74425.747,694.213,8.678
80,36,80Kr,74423.233,695.434,8.693
80,37,80Rb,74428.441,688.932,8.612
80,38,80Sr,74429.795,686.285,8.579
80,39,80Y,74438.372,676.414,8.455
80,40,80Zr,74443.561,669.932,8.374
81,31,81Ga,75377.194,687.504,8.488
81,32,81Ge,75368.363,695.042,8.581
81,33,81As,75361.619,700.493,8.648
81,34,81Se,75357.252,703.567,8.686
81,35,81Br,75355.155,704.37,8.696
81,36,81Kr,75354.925,703.307,8.683
81,37,81Rb,75356.653,700.285,8.645
81,38,81Sr,75360.069,695.576,8.587
81,39,81Y,75365.066,689.286,8.51
81,40,81Zr,75372.085,680.973,8.407
82,32,82Ge,76300.537,702.433,8.566
82,33,82As,76295.326,706.351,8.614
82,34,82Se,76287.541,712.843,8.693
82,35,82Br,76287.128,711.963,8.682
82,36,82Kr,76283.524,714.274,8.711
82,37,82Rb,76287.414,709.09,8.647
82,38,82Sr,76287.083,708.127,8.636
82,39,82Y,76294.39,699.527,8.531
83,33,83As,77227.26,713.982,8.602
83,34,83Se,77221.288,718.661,8.659
83,35,83Br,77217.109,721.547,8.693
83,36,83Kr,77215.625,721.737,8.696
83,37,83Rb,77216.021,720.048,8.675
83,38,83Sr,77217.79,716.986,8.638
83,39,83Y,77221.744,711.738,8.575
83,40,83Zr,77227.103,705.086,8.495
83,41,83Nb,77234.092,696.804,8.395
84,34,84Se,78152.171,727.343,8.659
84,35,84Br,78149.813,728.408,8.672
84,36,84Kr,78144.67,732.258,8.717
84,37,84Rb,78146.84,728.794,8.676
84,38,84Sr,78145.435,728.906,8.677
84,39,84Y,78151.408,721.64,8.591
85,34,85Se,79087.189,731.891,8.61
85,35,85Br,79080.496,737.29,8.674
85,36,85Kr,79077.115,739.378,8.699
85,37,85Rb,79075.917,739.283,8.697
85,38,85Sr,79076.471,737.436,8.676
85,39,85Y,79079.22,733.393,8.628
85,40,85Zr,79083.401,727.919,8.564
85,41,85Nb,79088.89,721.136,8.484
86,34,86Se,80020.57,738.075,8.582
86,35,86Br,80014.96,742.392,8.632
86,36,86Kr,80006.824,749.235,8.712
86,37,86Rb,80006.831,747.934,8.697
86,38,86Sr,80004.544,748.928,8.708
86,39,86Y,80009.272,742.906,8.638
86,40,86Zr,80010.245,740.64,8.612
86,41,86Nb,80017.704,731.888,8.51
86,42,86Mo,80022.463,725.835,8.44
87,34,87Se,80956.025,742.185,8.531
87,35,87Br,80948.237,748.68,8.606
87,36,87Kr,80940.874,754.75,8.675
87,37,87Rb,80936.474,757.856,8.711
87,38,87Sr,80935.681,757.356,8.705
87,39,87Y,80937.031,754.712,8.675
87,40,87Zr,80940.191,750.259,8.624
87,41,87Nb,80944.848,744.309,8.555
87,42,87Mo,80950.827,737.037,8.472
88,34,88Se,81890.219,747.557,8.495
88,35,88Br,81882.858,753.624,8.564
88,36,88Kr,81873.385,761.804,8.657
88,37,88Rb,81869.957,763.939,8.681
88,38,88Sr,81864.133,768.469,8.733
88,39,88Y,81867.245,764.064,8.683
88,40,88Zr,81867.41,762.606,8.666
88,41,88Nb,81874.452,754.27,8.571
88,42,88Mo,81877.311,750.118,8.524
89,35,89Br,82816.512,759.536,8.534
89,36,89Kr,82807.841,766.913,8.617
89,37,89Rb,82802.347,771.114,8.664
89,38,89Sr,82797.34,774.828,8.706
89,39,89Y,82795.336,775.538,8.714
89,40,89Zr,82797.658,771.923,8.673
89,41,89Nb,82801.366,766.922,8.617
89,42,89Mo,82806.501,760.493,8.545
90,35,90Br,83751.956,763.657,8.485
90,36,90Kr,83741.095,773.225,8.591
90,37,90Rb,83736.192,776.834,8.631
90,38,90Sr,83729.102,782.631,8.696
90,39,90Y,83728.045,782.395,8.693
90,40,90Zr,83725.254,783.893,8.71
90,41,90Nb,83730.854,776.999,8.633
90,42,90Mo,83732.832,773.728,8.597
90,43,90Tc,83741.278,763.988,8.489
91,35,91Br,84686.56,768.618,8.446
91,36,91Kr,84676.249,777.636,8.545
91,37,91Rb,84669.303,783.289,8.608
91,38,91Sr,84662.892,788.406,8.664
91,39,91Y,84659.681,790.324,8.685
91,40,91Zr,84657.625,791.087,8.693
91,41,91Nb,84658.372,789.046,8.671
91,42,91Mo,84662.289,783.836,8.614
91,43,91Tc,84668.002,776.83,8.537
92,35,92Br,85622.984,771.76,8.389
